"X1","X2","Y","Z"
"8254.92","14.4","0.91","35.00"
"81.07","13.44","3.13","15.00"
"7.99","12.04","2.94","53.00"
"6.97","10092.76","2.63","39.00"
"7.84","11.36","3170.43","20.00"
"6.67","9.48","2.61","18.00"
"3.98","9.99","2.89","13.00"
"11.02","24.07","8.44","47.00"
"10.75","22.16","7.57","16.00"
"10.93","22.18","7.83","36.00"
"9.67","20.61","7.32","10.00"
"10.71","20.61","7.28","15.00"
"5.99","12.48","8.09","58.00"
"4.04","8.6","5.79","19.00"
"6.41","11.99","7.89","36.00"
"79.81","149.01","1376.95","34.00"
"5.14","9.94","6.76","14.00"
"6.14","10.89","7.71","12.00"
"10.16","16.83","8.43","39.00"
"11.01","17.84","9.21","45.00"
"12.56","19.63","10.54","19.00"
"11.00","17.43","9.95","52.00"
"13.56","20.52","12.13","36.00"
"13.85","20.1","12.67","60.00"
"8.8","1.58","10.03","36.00"
"10.00","22.76","12.44","33.00"
"9.58","19.39","11.09","58.00"
"2.97","4.8","5.43","40.00"
"2.89","4.36","4.6","40.00"
"5.05","7.65","7.09","35.00"
