"NO","Tabulasi Jawaban Responden Variabel Kualitas Pelayanan (X1)","","","","","Total ","NO","Tabulasi Jawaban Responden Variabel Persepsi Harga (X2)","","","","Total ","NO","Tabulasi Jawaban Responden Variabel Loyalitas Pelanggan(Y)","","","","Total ","NO","Tabulasi Jawaban Responden Variabel Kepuasan Pelanggan (z)","","","","","Total "
"","X1_1","X1_2","X1_3","X1_4","X1_5","","","X2_1","X2_2","X2_3","X2_4","","","Y_1","Y_2","Y_3","Y_4","","","Z_1","Z_2","Z_3","Z_4","Z_5",""
"1","3","3","4","3","3","16","1","3","3","4","3","13","1","4","3","3","3","13","1","4","3","3","3","3","16"
"2","3","3","4","3","3","16","2","3","3","3","3","12","2","4","3","3","3","13","2","3","3","3","3","3","15"
"3","3","3","4","4","3","17","3","2","3","3","3","11","3","4","3","3","3","13","3","3","3","3","3","3","15"
"4","3","2","3","4","2","14","4","3","3","3","3","12","4","3","3","2","2","10","4","3","3","2","3","3","14"
"5","3","2","3","4","2","14","5","3","4","3","3","13","5","3","4","2","2","11","5","3","3","2","2","4","14"
"6","4","2","4","4","2","16","6","3","4","3","3","13","6","4","4","2","2","12","6","3","3","2","3","3","14"
"7","3","3","3","4","3","16","7","3","3","3","2","11","7","4","3","3","3","13","7","3","2","3","3","4","15"
"8","3","3","4","4","3","17","8","2","3","3","3","11","8","4","3","3","3","13","8","3","3","3","3","4","16"
"9","3","4","3","3","2","15","9","3","4","3","3","13","9","4","4","4","4","16","9","3","3","4","3","3","16"
"10","3","2","3","3","2","13","10","2","4","3","2","11","10","4","4","2","2","12","10","3","2","2","2","3","12"
"11","3","2","3","3","2","13","11","2","3","3","2","10","11","3","3","2","2","10","11","3","2","2","4","3","14"
"12","3","3","3","3","3","15","12","3","3","3","3","12","12","3","3","3","3","12","12","3","3","3","3","3","15"
"13","3","3","3","3","3","15","13","3","4","3","3","13","13","4","4","3","3","14","13","3","3","3","4","3","16"
"14","3","2","3","3","2","13","14","3","2","3","2","10","14","3","2","2","2","9","14","3","2","2","2","3","12"
"15","3","3","3","3","3","15","15","3","4","3","3","13","15","4","4","3","3","14","15","3","3","3","4","3","16"
"16","3","2","3","3","2","13","16","3","2","2","2","9","16","2","2","2","2","8","16","2","2","2","2","3","11"
"17","3","3","4","4","3","17","17","3","4","4","3","14","17","4","4","3","3","14","17","4","3","3","4","4","18"
"18","3","3","3","3","3","15","18","3","4","4","3","14","18","4","4","3","3","14","18","3","3","3","4","4","17"
"19","3","3","3","3","3","15","19","4","4","3","3","14","19","4","4","3","3","14","19","3","3","3","4","3","16"
"20","3","3","4","4","3","17","20","3","2","4","4","13","20","4","2","3","3","12","20","4","4","3","4","4","19"
"21","3","2","3","3","2","13","21","2","2","3","2","9","21","3","2","2","2","9","21","3","2","2","2","3","12"
"22","3","3","3","3","3","15","22","2","3","3","3","11","22","4","3","3","3","13","22","3","3","3","4","3","16"
"23","3","3","3","3","3","15","23","2","3","3","3","11","23","3","3","3","3","12","23","3","3","3","4","3","16"
"24","3","2","3","3","2","13","24","3","3","3","2","11","24","3","3","2","2","10","24","3","2","2","4","3","14"
"25","3","3","3","3","3","15","25","3","2","3","3","11","25","4","2","3","4","13","25","3","3","3","3","4","16"
"26","3","3","3","3","3","15","26","2","3","3","3","11","26","4","3","3","4","14","26","3","3","3","3","3","15"
"27","3","2","4","4","2","15","27","2","3","3","2","10","27","3","3","2","3","11","27","3","2","2","2","3","12"
"28","3","3","3","3","3","15","28","3","2","3","3","11","28","3","2","3","3","11","28","3","3","3","3","3","15"
"29","2","2","3","3","2","12","29","3","2","3","3","11","29","3","2","2","3","10","29","3","3","2","3","3","14"
"30","3","3","3","3","3","15","30","2","2","3","2","9","30","3","2","3","4","12","30","3","2","3","3","3","14"
"31","2","2","3","3","2","12","31","3","2","3","3","11","31","3","2","2","3","10","31","3","3","2","3","3","14"
"32","3","2","3","3","2","13","32","2","2","3","2","9","32","3","2","2","3","10","32","3","2","2","3","3","13"
"33","3","2","2","2","2","11","33","2","2","3","2","9","33","2","2","2","3","9","33","3","2","2","2","3","12"
"34","3","3","2","2","3","13","34","3","2","2","3","10","34","3","2","3","3","11","34","3","3","3","2","3","14"
"35","3","2","3","3","2","13","35","3","3","3","3","12","35","3","3","2","3","11","35","3","3","2","3","3","14"
"36","3","3","4","4","3","17","36","3","3","3","4","13","36","4","3","3","4","14","36","4","4","3","3","3","17"
"37","3","3","3","3","3","15","37","3","3","3","3","12","37","3","3","3","3","12","37","3","3","3","3","3","15"
"38","3","3","3","3","3","15","38","3","2","3","3","11","38","2","2","3","3","10","38","3","3","3","3","3","15"
"39","3","3","3","3","3","15","39","3","3","3","3","12","39","3","3","3","3","12","39","3","3","3","3","3","15"
"40","3","2","3","3","2","13","40","2","2","3","2","9","40","3","2","2","3","10","40","3","2","2","3","3","13"
"41","3","3","3","3","3","15","41","3","3","3","3","12","41","3","3","3","3","12","41","3","3","3","3","3","15"
"42","3","2","3","3","2","13","42","3","2","3","3","11","42","2","2","2","3","9","42","3","3","2","3","3","14"
"43","3","2","3","3","2","13","43","2","2","3","3","10","43","2","2","2","3","9","43","3","3","2","3","3","14"
"44","3","2","3","3","2","13","44","2","3","3","3","11","44","3","3","2","3","11","44","3","3","2","3","3","14"
"45","3","3","3","3","3","15","45","2","2","3","3","10","45","3","2","3","3","11","45","3","3","3","3","3","15"
"46","3","2","3","3","2","13","46","2","2","3","3","10","46","2","2","2","3","9","46","3","3","2","3","3","14"
"47","3","3","3","3","3","15","47","2","2","3","3","10","47","3","2","3","4","12","47","3","3","3","4","3","16"
"48","3","3","3","3","3","15","48","3","2","3","3","11","48","2","2","3","4","11","48","2","3","3","3","3","14"
"49","3","2","3","3","2","13","49","2","3","3","2","10","49","3","3","2","3","11","49","3","2","2","3","4","14"
"50","3","3","3","3","3","15","50","3","2","3","3","11","50","3","2","3","3","11","50","3","3","3","3","3","15"
"51","4","3","3","3","3","16","51","4","3","4","3","14","51","3","3","3","4","13","51","3","3","3","4","4","17"
"52","3","3","3","3","3","15","52","3","2","3","3","11","52","2","2","3","3","10","52","3","3","3","2","3","14"
"53","3","3","3","3","3","15","53","3","2","3","3","11","53","3","2","3","3","11","53","3","3","3","3","3","15"
"54","3","2","3","3","2","13","54","2","2","3","3","10","54","2","2","2","3","9","54","3","3","2","2","3","13"
"55","2","2","3","3","2","12","55","2","2","3","2","9","55","3","2","2","3","10","55","3","2","2","2","3","12"
"56","3","3","3","3","3","15","56","2","2","3","3","10","56","2","2","3","3","10","56","3","3","3","3","3","15"
"57","3","3","3","3","3","15","57","2","2","3","3","10","57","3","2","3","3","11","57","3","3","3","2","3","14"
"58","3","2","3","3","2","13","58","3","2","3","2","10","58","2","2","2","3","9","58","3","2","2","2","3","12"
"59","3","2","3","3","2","13","59","2","2","3","2","9","59","3","2","2","4","11","59","3","2","2","2","3","12"
"60","2","2","3","3","2","12","60","2","2","3","2","9","60","2","2","2","3","9","60","3","2","2","3","3","13"
